country,score
Netherlands,0.944
Singapore,0.938
Hong Kong,0.949
Finland,0.938
United Arab Emirates,0.89
Panama,0.815
Belgium,0.931
Iceland,0.949
United States,0.926
Denmark,0.94
Estonia,0.892
Qatar,0.848
Norway,0.957
United Kingdom,0.932
Germany,0.947
Spain,0.904
New Zealand,0.931
Sweden,0.945
Malaysia,0.81
Canada,0.929
Japan,0.919
Malta,0.895
Barbados,0.814
Korea,0.916
Namibia,0.646
Portugal,0.864
Ireland,0.955
France,0.901
Latvia,0.866
Bahrain,0.852
Morocco,0.686
Slovenia,0.917
Uruguay,0.817
Jamaica,0.734
Chile,0.851
Australia,0.944
Dominican Republic,0.756
Lithuania,0.882
South Africa,0.709
Azerbaijan,0.756
Saudi Arabia,0.854
Israel,0.919
Egypt,0.707
Ecuador,0.759
Cyprus,0.887
China,0.761
India,0.645
Croatia,0.851
Oman,0.813
Luxembourg,0.916
Jordan,0.729
Turkey,0.82
Seychelles,0.796
Kenya,0.601
Greece,0.888
Sri Lanka,0.782
Switzerland,0.955
Suriname,0.738
Senegal,0.512
Italy,0.892
Honduras,0.634
Thailand,0.777
Mexico,0.779
Russia,0.824
Mauritius,0.804
Poland,0.88
Montenegro,0.829
Bulgaria,0.816
Georgia,0.812
Albania,0.795
Indonesia,0.718
Iran,0.783
Pakistan,0.557
Brunei,0.838
Benin,0.545
Austria,0.922
Trinidad and Tobago,0.796
Kuwait,0.806
Colombia,0.767
Vietnam,0.704
Argentina,0.845
Peru,0.777
Cambodia,0.594
Mozambique,0.456
North Macedonia,0.774
Madagascar,0.528
Ghana,0.611
Bangladesh,0.632
Eswatini,0.611
Guyana,0.682
Guatemala,0.663
Ukraine,0.779
Romania,0.828
Czech Republic,0.9
Lebanon,0.744
El Salvador,0.673
Tanzania,0.529
Guinea,0.592
Guinea,0.555
Guinea,0.48
Guinea,0.477
Costa Rica,0.81
Algeria,0.748
Tunisia,0.74
Sierra Leone,0.452
Belize,0.716
Paraguay,0.728
Kazakhstan,0.825
Liberia,0.48
Hungary,0.854
Gabon,0.703
Nicaragua,0.66
Zimbabwe,0.571
Cameroon,0.563
Botswana,0.735
Brazil,0.765
Burkina Faso,0.452
Serbia,0.806
Lesotho,0.527
Rwanda,0.543
Philippines,0.718
Nigeria,0.539
Burundi,0.433
Angola,0.581
Venezuela,0.711
Ethiopia,0.485
Haiti,0.51
Libya,0.724
Uganda,0.544
Yemen,0.47
Myanmar,0.583
Mauritania,0.546
Armenia,0.776
Moldova,0.75
Zambia,0.584
Malawi,0.483
Bosnia and Herzegovina,0.78
Bolivia,0.718
Bhutan,0.654
Tajikistan,0.668
Chad,0.398
Mali,0.434
Nepal,0.602
Mongolia,0.737
